ID,Duplicate,Study,Ancestry,Treated_micro,Treated_survey,Perceived_color,A500,A650,PTCA,TTCA,H_4AHP,A650_A500,TTCA_PTCA,H_4AHP_PTCA,PTCA_A500
1,0,Cambridge,1,0,0,1. Black,0.31,0.104,346,,9,0.335483871,,0.026011561,1116.129032
2,0,Cambridge,1,0,0,1. Black,0.191,0.059,194,,7.5,0.308900524,,0.038659794,1015.706806
3,0,Cambridge,1,0,0,1. Black,0.255,0.082,280,,9.7,0.321568627,,0.034642857,1098.039216
4,0,Cambridge,1,0,0,1. Black,0.262,0.085,333,,7.5,0.324427481,,0.022522523,1270.992366
5,0,Cambridge,6,0,0,1. Black,0.112,0.035,141,,4.5,0.3125,,0.031914894,1258.928571
6,0,Cambridge,1,0,0,1. Black,0.209,0.067,250,,6.7,0.320574163,,0.0268,1196.172249
7,0,Cambridge,1,0,0,1. Black,0.233,0.073,253,,5.2,0.313304721,,0.02055336,1085.83691
8,0,Cambridge,1,0,0,1. Black,0.27,0.09,289,,10.5,0.333333333,,0.03633218,1070.37037
10,0,Cambridge,1,0,0,1. Black,0.177,0.06,217,,7.5,0.338983051,,0.034562212,1225.988701
11,0,Cambridge,1,0,0,1. Black,0.209,0.067,247,,6.7,0.320574163,,0.027125506,1181.818182
12,0,Cambridge,1,0,0,1. Black,0.33,0.097,319,,7.5,0.293939394,,0.023510972,966.6666667
13,0,Cambridge,1,0,0,1. Black,0.269,0.087,317,,11.2,0.323420074,,0.03533123,1178.438662
14,0,Cambridge,1,0,0,1. Black,0.236,0.073,252,,9,0.309322034,,0.035714286,1067.79661
15,0,Cambridge,1,0,0,1. Black,0.264,0.086,294,,9.4,0.325757576,,0.031972789,1113.636364
16,0,Cambridge,1,0,0,1. Black,0.231,0.073,303,,6.2,0.316017316,,0.020462046,1311.688312
17,0,Cambridge,1,0,0,1. Black,0.193,0.064,218,,7,0.331606218,,0.032110092,1129.533679
18,0,Cambridge,1,0,0,1. Black,0.308,0.099,350,,12.5,0.321428571,,0.035714286,1136.363636
19,0,Cambridge,1,0,0,1. Black,0.249,0.081,262,,9.4,0.325301205,,0.035877863,1052.208835
20,0,Cambridge,1,0,0,1. Black,0.26,0.084,296,,10.9,0.323076923,,0.036824324,1138.461538
21,0,Cambridge,1,0,0,1. Black,0.359,0.121,304,,15.6,0.337047354,,0.051315789,846.7966574
22,0,Cambridge,6,0,0,1. Black,0.238,0.077,256,,7.8,0.323529412,,0.03046875,1075.630252
23,0,Cambridge,1,0,0,1. Black,0.362,0.119,394,,13.3,0.328729282,,0.033756345,1088.39779
24,0,Cambridge,6,0,0,1. Black,0.223,0.071,226,,10.9,0.31838565,,0.048230088,1013.452915
25,0,Cambridge,1,0,0,1. Black,0.216,0.072,266,,9.4,0.333333333,,0.035338346,1231.481481
26,0,Cambridge,1,0,0,1. Black,0.223,0.07,257,,9.4,0.313901345,,0.036575875,1152.466368
31,0,Cambridge,1,0,0,1. Black,0.187,0.049,248,,4,0.262032086,,0.016129032,1326.203209
32,0,Cambridge,1,0,0,1. Black,0.251,0.083,291,,4,0.330677291,,0.013745704,1159.36255
33,0,Cambridge,1,0,0,1. Black,0.248,0.078,345,,4,0.314516129,,0.011594203,1391.129032
34,0,Cambridge,1,0,0,1. Black,0.204,0.066,251,,4.8,0.323529412,,0.019123506,1230.392157
37,0,Cambridge,3,0,0,1. Black,0.158,0.049,243,,6.4,0.310126582,,0.026337449,1537.974684
39,0,Cambridge,1,0,0,1. Black,0.205,0.066,270,,4.8,0.32195122,,0.017777778,1317.073171
41,0,Cambridge,3,0,0,1. Black,0.2,0.064,259,,8.5,0.32,,0.032818533,1295
43,0,Cambridge,1,0,0,1. Black,0.269,0.088,340,,5.1,0.327137546,,0.015,1263.94052
44,0,Cambridge,1,0,0,1. Black,0.222,0.073,268,,5.1,0.328828829,,0.019029851,1207.207207
45,0,Cambridge,3,0,0,1. Black,0.165,0.053,231,,5.1,0.321212121,,0.022077922,1400
46,0,Cambridge,6,0,0,1. Black,0.147,0.047,197,,3.4,0.319727891,,0.017258883,1340.136054
48,0,Cambridge,1,0,0,1. Black,0.172,0.056,219,,3.4,0.325581395,,0.015525114,1273.255814
49,0,Cambridge,2,0,0,1. Black,0.096,0.028,142,,5.1,0.291666667,,0.035915493,1479.166667
50,0,Cambridge,1,0,0,1. Black,0.271,0.087,294,,6,0.32103321,,0.020408163,1084.870849
51,0,Cambridge,1,0,0,1. Black,0.244,0.08,298,,3.4,0.327868852,,0.011409396,1221.311475
53,0,Cambridge,1,0,0,1. Black,0.261,0.08,265,,5.1,0.30651341,,0.019245283,1015.32567
54,0,Cambridge,1,0,0,1. Black,0.185,0.057,200,,17.8,0.308108108,,0.089,1081.081081
56,0,Cambridge,3,0,0,1. Black,0.154,0.05,205,,9.8,0.324675325,,0.047804878,1331.168831
57,0,Cambridge,3,0,0,1. Black,0.176,0.057,220,,12.4,0.323863636,,0.056363636,1250
58,0,Cambridge,3,0,0,1. Black,0.249,0.081,332,,7.1,0.325301205,,0.021385542,1333.333333
59,0,Cambridge,3,0,0,1. Black,0.164,0.053,247,,13.3,0.323170732,,0.053846154,1506.097561
61,0,Cambridge,1,0,0,1. Black,0.313,0.102,381,,8.9,0.325878594,,0.02335958,1217.252396
63,0,Cambridge,6,0,0,1. Black,0.216,0.07,280,,32,0.324074074,,0.114285714,1296.296296
64,0,Cambridge,3,0,0,1. Black,0.253,0.083,334,,10.7,0.328063241,,0.032035928,1320.158103
65,0,Cambridge,2,0,0,1. Black,0.104,0.034,150,,14.2,0.326923077,,0.094666667,1442.307692
66,0,Cambridge,1,0,0,1. Black,0.192,0.058,244,,11.8,0.302083333,,0.048360656,1270.833333
67,0,Cambridge,3,0,0,1. Black,0.149,0.048,241,,9.1,0.322147651,,0.037759336,1617.449664
68,0,Cambridge,3,0,0,1. Black,0.182,0.059,234,,18.1,0.324175824,,0.077350427,1285.714286
71,0,Cambridge,2,0,0,1. Black,0.115,0.037,166,,21.8,0.32173913,,0.131325301,1443.478261
72,0,Cambridge,3,0,0,1. Black,0.269,0.086,344,,20.8,0.319702602,,0.060465116,1278.810409
73,0,Cambridge,3,0,0,1. Black,0.237,0.077,316,,12.7,0.324894515,,0.040189873,1333.333333
76,0,Cambridge,1,0,0,1. Black,0.219,0.071,301,,29.9,0.324200913,,0.099335548,1374.429224
77,0,Cambridge,1,0,0,1. Black,0.261,0.086,408,,23.6,0.329501916,,0.057843137,1563.218391
140056,0,ADAPT,3,1,1,1. Black,0.167,0.042,180,39.2,7.6,0.251497006,0.217777778,0.042222222,1077.844311
140078,0,ADAPT,1,0,0,1. Black,0.299,0.099,324,71.3,2.5,0.331103679,0.220061728,0.007716049,1083.61204
140080,0,ADAPT,3,0,0,1. Black,0.168,0.049,166,42.7,11.8,0.291666667,0.257228916,0.071084337,988.0952381
140455,0,ADAPT,2,0,0,1. Black,0.226,0.067,277,46,14.9,0.296460177,0.166064982,0.053790614,1225.663717
140478,0,ADAPT,1,0,0,1. Black,0.334,0.11,353,71.3,16.8,0.329341317,0.201983003,0.047592068,1056.886228
140544,0,ADAPT,1,0,0,1. Black,0.297,0.097,301,53.5,6.7,0.326599327,0.177740864,0.022259136,1013.468013
140548,0,ADAPT,1,0,0,1. Black,0.218,0.064,219,47.5,4.2,0.293577982,0.216894977,0.019178082,1004.587156
140830,0,ADAPT,3,0,1,1. Black,0.25,0.077,263,64.3,33.7,0.308,0.244486692,0.128136882,1052
143229,0,ADAPT,5,0,0,1. Black,0.101,0.027,111,27.6,15.8,0.267326733,0.248648649,0.142342342,1099.009901
29,0,Cambridge,2,0,0,2. Dark Brown,0.11,0.035,143,,4.6,0.318181818,,0.032167832,1300
30,0,Cambridge,6,0,0,2. Dark Brown,0.16,0.051,194,,6.4,0.31875,,0.032989691,1212.5
35,0,Cambridge,2,0,0,2. Dark Brown,0.077,0.025,114,,8.8,0.324675325,,0.077192982,1480.519481
36,0,Cambridge,2,0,0,2. Dark Brown,0.084,0.027,99.3,,11.2,0.321428571,,0.112789527,1182.142857
40,0,Cambridge,2,0,0,2. Dark Brown,0.127,0.041,163,,6.4,0.322834646,,0.039263804,1283.464567
42,0,Cambridge,3,0,0,2. Dark Brown,0.202,0.063,251,,6.8,0.311881188,,0.027091633,1242.574257
47,0,Cambridge,2,0,0,2. Dark Brown,0.145,0.047,208,,6,0.324137931,,0.028846154,1434.482759
69,0,Cambridge,2,0,0,2. Dark Brown,0.091,0.03,127,,14.5,0.32967033,,0.114173228,1395.604396
78,0,Cambridge,1,0,0,2. Dark Brown,0.144,0.046,225,,23.6,0.319444444,,0.104888889,1562.5
140551,0,ADAPT,2,0,0,2. Dark Brown,0.091,0.031,64.7,39,12.6,0.340659341,0.602782071,0.194744977,710.989011
140691,0,ADAPT,2,1,1,2. Dark Brown,0.096,0.024,69.9,42.6,24.8,0.25,0.60944206,0.354792561,728.125
140720,0,ADAPT,2,0,0,2. Dark Brown,0.107,0.034,106,36.2,18.5,0.317757009,0.341509434,0.174528302,990.6542056
140737,0,ADAPT,2,0,0,2. Dark Brown,0.106,0.032,119,31.2,8.4,0.301886792,0.262184874,0.070588235,1122.641509
143173,0,ADAPT,2,0,0,2. Dark Brown,0.079,0.021,90.7,21.5,12.2,0.265822785,0.237045204,0.134509372,1148.101266
143224,0,ADAPT,2,0,0,2. Dark Brown,0.064,0.017,80.1,26.6,7.3,0.265625,0.332084894,0.09113608,1251.5625
143289,0,ADAPT,2,0,0,2. Dark Brown,0.067,0.021,90.7,14.4,5.5,0.313432836,0.15876516,0.060639471,1353.731343
143305,0,ADAPT,2,0,0,2. Dark Brown,0.076,0.022,80.3,35.5,18.4,0.289473684,0.442092154,0.229140722,1056.578947
143410,0,ADAPT,2,0,0,2. Dark Brown,0.092,0.02,75.5,96.9,411,0.217391304,1.283443709,5.443708609,820.6521739
143432,0,ADAPT,2,0,0,2. Dark Brown,0.063,0.018,70,30.5,77.7,0.285714286,0.435714286,1.11,1111.111111
150005,1,ADAPT,0,0,0,2. Dark Brown,0.08,0.024,59,49.4,46,0.3,0.837288136,0.779661017,737.5
150005,1,ADAPT,0,0,0,2. Dark Brown,0.093,0.031,66.4,43.7,60.3,0.333333333,0.65813253,0.90813253,713.9784946
28,0,Cambridge,2,0,0,3. Medium Brown,0.07,0.024,90.4,,4,0.342857143,,0.044247788,1291.428571
38,0,Cambridge,2,0,0,3. Medium Brown,0.074,0.023,137,,8,0.310810811,,0.058394161,1851.351351
55,0,Cambridge,2,0,0,3. Medium Brown,0.095,0.029,139,,10.7,0.305263158,,0.076978417,1463.157895
60,0,Cambridge,2,0,0,3. Medium Brown,0.052,0.016,90.9,,12.4,0.307692308,,0.136413641,1748.076923
62,0,Cambridge,2,0,0,3. Medium Brown,0.066,0.02,91,,15.1,0.303030303,,0.165934066,1378.787879
70,0,Cambridge,2,0,0,3. Medium Brown,0.068,0.022,90.9,,10.9,0.323529412,,0.119911991,1336.764706
140101,0,ADAPT,2,1,0,3. Medium Brown,0.041,0.01,42.4,17.1,5.1,0.243902439,0.403301887,0.120283019,1034.146341
140221,0,ADAPT,2,0,1,3. Medium Brown,0.061,0.015,48.8,16.3,1.7,0.245901639,0.334016393,0.034836066,800
140278,0,ADAPT,2,0,0,3. Medium Brown,0.075,0.019,72.4,53.4,56.2,0.253333333,0.737569061,0.776243094,965.3333333
140383,1,ADAPT,2,0,0,3. Medium Brown,0.034,0.007,35.1,15,9.8,0.205882353,0.427350427,0.279202279,1032.352941
140533,0,ADAPT,2,0,0,3. Medium Brown,0.06,0.015,47.4,28.1,14.3,0.25,0.592827004,0.301687764,790
140534,0,ADAPT,2,0,0,3. Medium Brown,0.04,0.008,29.1,32.4,20.4,0.2,1.113402062,0.701030928,727.5
140606,0,ADAPT,2,1,1,3. Medium Brown,0.064,0.011,42.9,11.7,6.2,0.171875,0.272727273,0.144522145,670.3125
143121,0,ADAPT,2,1,0,3. Medium Brown,0.049,0.009,60.2,44.4,19.4,0.183673469,0.737541528,0.322259136,1228.571429
143292,1,ADAPT,2,1,0,3. Medium Brown,0.08,0.017,49.4,74.4,41.9,0.2125,1.506072874,0.848178138,617.5
143292,1,ADAPT,2,1,0,3. Medium Brown,0.064,0.012,47.3,79.2,40.2,0.1875,1.674418605,0.849894292,739.0625
143602,0,ADAPT,2,0,0,3. Medium Brown,0.067,0.019,68.9,61.8,32,0.28358209,0.896952104,0.464441219,1028.358209
163020,0,FEMMES,2,0,0,3. Medium Brown,0.059,0.016,75.7,18.7,39,0.271186441,0.247027741,0.515191546,1283.050847
163023,0,FEMMES,2,0,0,3. Medium Brown,0.063,0.016,59.8,46.9,13.5,0.253968254,0.784280936,0.225752508,949.2063492
163035,0,FEMMES,4,0,0,3. Medium Brown,0.056,0.015,62.8,15.3,1.7,0.267857143,0.243630573,0.027070064,1121.428571
163052,0,FEMMES,2,0,0,3. Medium Brown,0.044,0.01,35.8,26.9,28.9,0.227272727,0.751396648,0.80726257,813.6363636
163065,0,FEMMES,2,0,0,3. Medium Brown,0.052,0.012,59.8,13.7,7.1,0.230769231,0.22909699,0.118729097,1150
163089,0,FEMMES,2,0,0,3. Medium Brown,0.065,0.017,63.5,23.2,13.2,0.261538462,0.365354331,0.207874016,976.9230769
163094,0,FEMMES,2,2,0,3. Medium Brown,0.073,0.021,86.1,28.5,3.4,0.287671233,0.331010453,0.039488966,1179.452055
163150,0,FEMMES,2,0,0,3. Medium Brown,0.06,0.013,42.3,48.2,52.4,0.216666667,1.139479905,1.238770686,705
163190,0,FEMMES,2,0,0,3. Medium Brown,0.054,0.015,66.6,42.4,27,0.277777778,0.636636637,0.405405405,1233.333333
52,0,Cambridge,1,0,0,4. Light Brown,0.089,0.025,126,,4.3,0.280898876,,0.034126984,1415.730337
75,0,Cambridge,2,0,0,4. Light Brown,0.029,0.009,54,,10.9,0.310344828,,0.201851852,1862.068966
140073,0,ADAPT,2,0,0,4. Light Brown,0.03,0.005,22.5,41,43.8,0.166666667,1.822222222,1.946666667,750
140107,0,ADAPT,2,0,0,4. Light Brown,0.047,0.01,47.5,32,27.8,0.212765957,0.673684211,0.585263158,1010.638298
140383,1,ADAPT,2,0,0,4. Light Brown,0.034,0.006,29.7,15.6,10,0.176470588,0.525252525,0.336700337,873.5294118
140610,0,ADAPT,2,0,0,4. Light Brown,0.055,0.015,42.1,31.1,24.1,0.272727273,0.73871734,0.572446556,765.4545455
143293,0,ADAPT,2,1,0,4. Light Brown,0.038,0.011,32.9,26.7,11.3,0.289473684,0.811550152,0.343465046,865.7894737
143409,0,ADAPT,2,0,0,4. Light Brown,0.034,0.004,22.3,52.9,91.6,0.117647059,2.372197309,4.107623318,655.8823529
163153,0,FEMMES,2,0,0,4. Light Brown,0.048,0.013,25.2,46.2,37.1,0.270833333,1.833333333,1.472222222,525
27,0,Cambridge,2,0,0,5. Blond,0.019,0.007,32.8,,12.5,0.368421053,,0.381097561,1726.315789
140188,0,ADAPT,2,0,0,5. Blond,0.023,0.005,15.5,10.6,5.9,0.217391304,0.683870968,0.380645161,673.9130435
140255,0,ADAPT,2,0,1,5. Blond,0.021,0.005,24.7,13.2,10.1,0.238095238,0.534412955,0.408906883,1176.190476
140746,0,ADAPT,2,0,0,5. Blond,0.018,0.003,4.1,10.8,9,0.166666667,2.634146341,2.195121951,227.7777778
74,0,Cambridge,2,0,0,6. Red,0.033,0.004,27.4,69.4,385,0.121212121,,14.05109489,830.3030303
140774,0,ADAPT,2,1,1,6. Red,0.071,0.014,65.3,103,65.1,0.197183099,1.577335375,0.996937213,919.7183099
143333,0,ADAPT,2,1,0,6. Red,0.044,0.005,15.6,84.5,65.8,0.113636364,5.416666667,4.217948718,354.5454545
143690,0,ADAPT,2,0,0,6. Red,0.05,0.006,23,83.2,114,0.12,3.617391304,4.956521739,460
163008,1,FEMMES,2,0,0,6. Red,0.048,0.006,24.5,84,140,0.125,3.428571429,5.714285714,510.4166667
163008,1,FEMMES,2,0,0,6. Red,0.06,0.009,25.9,96.3,186,0.15,3.718146718,7.181467181,431.6666667
143295,0,ADAPT,2,0,0,7. Grey,0.047,0.014,47.5,18.7,33.1,0.29787234,0.393684211,0.696842105,1010.638298
163220,0,FEMMES,2,0,0,7. Grey,0.045,0.016,29.1,15.4,26.7,0.355555556,0.529209622,0.917525773,646.6666667